"","year","facility","city","state","facilityClergy","bishop","cmdmWorker","serviceRegularity","serviceFrequency","place","lat","lng"
"521",1878,"","New York City","New York","","","Job Turner","Itinerant","","New York City, New York",40.7127281,-74.0060152
"522",1878,"New York Institution for Deaf Mutes","New York City","New York","","","Job Turner","Itinerant","","New York City, New York",40.7127281,-74.0060152
"523",1878,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","John C. Acker","regular","weekly","Rochester, New York",43.157285,-77.615214
"524",1878,"Church of the Messiah","Glens Falls","New York","Russell A. Olin","William Croswell Doane","Thomas Gallaudet","Itinerant","once","Glens Falls, New York",43.309941,-73.644447
"525",1878,"Grace Church","Mexico","New York","Joseph Cross","Frederic D. Huntington","Turner, Gallaudet","Itinerant","intermittent","Mexico, New York",35.0586534,-107.527271
"526",1878,"St. John's Church","Buffalo","New York","William H. Hughes","Arthur C. Coxe","Mann and Gallaudet","itinerant","intermittent","Buffalo, New York",42.8867166,-78.8783922
"527",1879,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain, Lewis, Wells","regular","weekly","New York City, New York",40.7127281,-74.0060152
"528",1878,"John's Church","Buffalo","New York","William M. Hughes","Arthur C. Coxe","Austin Mann","itinerant","","Buffalo, New York",42.8867166,-78.8783922
"529",1879,"John's Church","Buffalo","New York","William M. Hughes","Arthur C. Coxe","Turner","itinerant","","Buffalo, New York",42.8867166,-78.8783922
"530",1879,"Church of the Redeemer","Astoria","New York","Edmund D. Cooper","Abram N. Littlejohn","Chamberlain","promotional","once","Astoria, New York",40.7720145,-73.9302673
"531",1879,"Church of the Holy Comforter","Poughkeepsie","New York","Robert F. Crary","Horatio Potter","Chamberlain","promotional","once","Poughkeepsie, New York",41.7065539,-73.9283672
"532",1879,"Christ Church","New York City","New York","George D. Johnson","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"533",1879,"Church of the Ascension","New York City","New York","C. Ellis Stevens","Abram N. Littlejohn","Gallaudet","itinerant","once","New York City, New York",40.7127281,-74.0060152
"534",1879,"Trinity Church","Mount Vernon","New York","Stephen F. Holmes","Horatio Potter","Gallaudet","promotional","once","Mount Vernon, New York",40.9125815,-73.8370786
"535",1879,"Zion Church","Dobbs Ferry","New York","George B. Reese Jr.","Horatio Potter","Gallaudet","promotional","once","Dobbs Ferry, New York",41.0110045,-73.8714145
"536",1879,"Church of the Intercession","New York City","New York","E. Winchester Donald","Horatio Potter","Gallaudet","itinerant","once","New York City, New York",40.7127281,-74.0060152
"537",1879,"Trinity Church","Asbury Park","New Jersey","William H Capers","John Scarborough","Gallaudet","promotional","","Asbury Park, New Jersey",40.2203907,-74.0120817
"538",1879,"Bethesda Church","Saratoga Springs","New York","Joseph Carey","William C. Doane","Gallaudet and Mann","Itinerant","once","Saratoga Springs, New York",43.0821793,-73.7853915
"539",1879,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","John C. Acker","regular","weekly","Rochester, New York",43.157285,-77.615214
"540",1879,"St. Ann's Church","New York City","New York","Noah H. Schenck","Abram N. Littlejohn","Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"541",1879,"St. Paul's Church","Albany","New York","Rev. J. Livingston Reese","William C. Doane","Lewis","regular","quarterly","Albany, New York",40.7127281,-74.0060152
"542",1879,"St. Andrew's Church","New York City","New York","Francis Lobdell","Horatio Potter","Lewis, Chamberlain","regular","monthly","New York City, New York",40.7127281,-74.0060152
"543",1879,"Trinity Church","Buffalo","New York","Edward Ingersoll","Arthur C. Coxe","Mann and Gallaudet","itinerant","once","Buffalo, New York",42.8867166,-78.8783922
"544",1879,"Trinity Church","Geneva","New York","H.W. Nelson","Arthur C. Coxe","Turner","itinerant","","Geneva, New York",42.8690271,-76.9786122
"545",1879,"St. James' Church","Syracuse","New York","Joseph M. Clarke","Frederic D. Huntington","Turner","itinerant","","Syracuse, New York",43.0481221,-76.1474244
"546",1879,"Grace Church","Mexico","New York","F.B.A. Lewis","Frederic D. Huntington","Turner","itinerant","","Mexico, New York",35.0586534,-107.527271
"547",1879,"Grace Church","Watertown","New York","George T. LeBoutillier","Frederic D. Huntington","Turner","itinerant","","Watertown, New York",43.9747838,-75.9107565
"548",1879,"Trinity Church","Potsdam","New York","Henry R. Howard","William C. Doane","Turner","itinerant","","Potsdam, New York",44.6697996,-74.9813349
"549",1879,"Grace Church","New York City","New York","D. Brainerd","Horatio Potter","","promotional","once","New York City, New York",40.7127281,-74.0060152
"550",1879,"Christ Church","New York City","New York","Lucius W. Bancroft","Abram N. Littlejohn","Lewis, Chamberlain","regular","monthly","New York City, New York",40.7127281,-74.0060152
"551",1879,"St. Paul's Church","Troy","New York","Francis Harison","William C. Doane","","regular","weekly","Troy, New York",40.7402557,-74.0055355
"552",1880,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain, Lewis, Turner","regular","weekly","New York City, New York",40.7127281,-74.0060152
"553",1880,"Church of the Intercession","New York City","New York","E. Winchester Donald","Horatio Potter","Chamberlain","itinerant","once","New York City, New York",40.7127281,-74.0060152
"554",1880,"St. Andrew's Church","New York City","New York","Francis Lobdell","Horatio Potter","Chamberlain","regular","monthly","New York City, New York",40.7127281,-74.0060152
"555",1880,"St. John's Chapel","New York City","New York","Sullivan H. Weston","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"556",1880,"Christ Church","New York City","New York","Alfred H. Partridge","Abram N. Littlejohn","Gallaudet","itinerant","once","New York City, New York",40.7127281,-74.0060152
"557",1880,"St. Ann's Church","New York City","New York","William A. Schenck","Abram N. Littlejohn","Gallaudet","itinerant","once","New York City, New York",40.7127281,-74.0060152
"558",1880,"Trinity Church","Asbury Park","New Jersey","William H. Capers","John Scarborough","Gallaudet","","","Asbury Park, New Jersey",40.2203907,-74.0120817
"559",1880,"Bethesda Church","Saratoga Springs","New York","Joseph Carey","William C. Doane","Gallaudet","itinerant","once","Saratoga Springs, New York",43.0821793,-73.7853915
"560",1880,"St. James' Church","Goshen","New York","William H.D. Grannis","Horatio Potter","Gallaudet","itinerant","once","Goshen, New York",41.4020382,-74.3243191
"561",1880,"","Quarryville","New York","","","George W. Schutt","occasional","intermittent","Quarryville, New York",42.1198121,-73.9870797
"562",1880,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","George W. Schutt","occasional","quarterly","Albany, New York",40.7127281,-74.0060152
"563",1880,"St. John's Church","Kingston","New York","C. William Camp","Horatio Potter","George W. Schutt","occasional","intermittent","Kingston, New York",41.9287812,-74.0023702
"564",1880,"St. George's Church","Newburgh","New York","John Brown","Horatio Potter","George W. Schutt","occasional","intermittent","Newburgh, New York",41.5034271,-74.0104179
"565",1880,"The Hall","Whiteport","New York","","","George W. Schutt","occasional","intermittent","Whiteport, New York",41.8823148,-74.0551409
"566",1880,"Trinity Church","Saugerties","New York","Thomas Cole","Horatio Potter","George W. Schutt","occasional","intermittent","Saugerties, New York",42.0775906,-73.9529126
"567",1880,"St. John's Church","Canterbury","New York","William E. Snowden","Horatio Potter","George W. Schutt","occasional","intermittent","Canterbury, New York",39.9839869,-76.7096887
"568",1880,"Church of the Holy Comforter","Poughkeepsie","New York","Robert F. Crary","Horatio Potter","George W. Schutt","occasional","intermittent","Poughkeepsie, New York",41.7065539,-73.9283672
"569",1880,"St Mark's Church","Tarrytown","New York","John F. Herrlich","Horatio Potter","George W. Schutt","occasional","intermittent","Tarrytown, New York",41.065586,-73.8673293
"570",1880,"St. Barnabas Chapel","Stottville","New York","William B. Reynolds","William C. Doane","George W. Schutt","occasional","intermittent","Stottville, New York",42.291795,-73.7512588
"571",1880,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","John C. Acker","regular","weekly","Rochester, New York",43.157285,-77.615214
"572",1880,"St. Paul's Church","Troy","New York","Francis Harison","William C. Doane","Mrs. Gould","","","Troy, New York",40.7402557,-74.0055355
"573",1859,"Christ Church","Binghamton","New York","Amos B. Beach","William H. De Lancey","Thomas Gallaudet","promotional","once","Binghamton, New York",42.096968,-75.914341
"574",1859,"Christ Church","Binghamton","New York","Amos B. Beach","William H. De Lancey","Thomas Gallaudet","itinerant","once","Binghamton, New York",42.096968,-75.914341
"575",1859,"Christ Church","Hudson","New York","William Watson","Horatio Potter","Thomas Gallaudet","promotional","once","Hudson, New York",42.2528649,-73.790959
"576",1859,"Christ Church","Hudson","New York","William Watson","Horatio Potter","Thomas Gallaudet","itinerant","once","Hudson, New York",42.2528649,-73.790959
"577",1859,"St. Paul's Church","Oxford","New York","David H. Macurdy","William H. De Lancey","Thomas Gallaudet","promotional","once","Oxford, New York",42.4420181,-75.5976855
"578",1859,"St. Paul's Church","Oxford","New York","David H. Macurdy","William H. De Lancey","Thomas Gallaudet","itinerant","once","Oxford, New York",42.4420181,-75.5976855
"579",1859,"St. Paul's Church","Oxford","New York","David H. Macurdy","William H. De Lancey","Thomas Gallaudet","itinerant","once","Oxford, New York",42.4420181,-75.5976855
"580",1859,"St. John's Church","Yonkers","New York","Abraham B. Carter","Horatio Potter","Thomas Gallaudet","promotional","once","Yonkers, New York",40.9312099,-73.8987469
"581",1859,"St. John's Church","Yonkers","New York","Abraham B. Carter","Horatio Potter","Thomas Gallaudet","itinerant","once","Yonkers, New York",40.9312099,-73.8987469
"582",1861,"St. Paul's Church","Albany","New York","William Rudder","Horatio Potter","Thomas Gallaudet","occasional","intermittent","Albany, New York",40.7127281,-74.0060152
"583",1878,"Church of the Good Shepherd","Raleigh","North Carolina","Edward R. Rich","Thomas Atkinson","Job Turner","Itinerant","","Raleigh, North Carolina",35.7803977,-78.6390989
"584",1878,"St. Peter's Church","Charlotte","North Carolina","Benjamin S. Bronson","Thomas Atkinson","Job Turner","Itinerant","","Charlotte, North Carolina",35.2272086,-80.8430827
"585",1878,"North Carolina Institution for Deaf-Mutes","Raleigh","North Carolina","","","Job Turner","Itinerant","","Raleigh, North Carolina",35.7803977,-78.6390989
"586",1879,"St. James' Church","Wilmington","North Carolina","Alfred Watson","Thomas Atkinson","Gallaudet","promotional","once","Wilmington, North Carolina",34.2257282,-77.9447107
"587",1879,"St. John's Church","Wilmington","North Carolina","George Patterson","Thomas Atkinson","Gallaudet","promotional","once","Wilmington, North Carolina",34.2257282,-77.9447107
"588",1879,"St. Mark's Church","Wilmington","North Carolina","Charles O. Brady","Thomas Atkinson","Gallaudet, Turner","itinerant","once","Wilmington, North Carolina",34.2257282,-77.9447107
"589",1879,"St. Paul's Church","Wilmington","North Carolina","T.M. Ambler","Thomas Atkinson","Gallaudet, Turner","itinerant","","Wilmington, North Carolina",34.2257282,-77.9447107
"590",1879,"North Carolina Institution for the Deaf and Dumb","Raleigh","North Carolina","","","Gallaudet, Turner","itinerant","","Raleigh, North Carolina",35.7803977,-78.6390989
"591",1879,"North Carolina Institution for the Deaf and Dumb","Raleigh","North Carolina","","","Gallaudet, Turner","itinerant","","Raleigh, North Carolina",35.7803977,-78.6390989
"592",1879,"Church of the Good Shepherd","Raleigh","North Carolina","Edward R. Rich","Thomas Atkinson","Turner","itinerant","","Raleigh, North Carolina",35.7803977,-78.6390989
"593",1879,"Christ Church","Raleigh","North Carolina","M.M. Marshall","Thomas Atkinson","Turner","itinerant","","Raleigh, North Carolina",35.7803977,-78.6390989
"594",1875,"Trinity Church","Columbus","Ohio","Rufus W. Clark","Thomas A. Jaggar","","itinerant","","Columbus, Ohio",39.9622601,-83.0007065
"595",1875,"Ohio Institution for Deaf-Mutes","Columbus","Ohio","","","Gallaudet","itinerant","once","Columbus, Ohio",39.9622601,-83.0007065
"596",1875,"Grace Church","Cleveland","Ohio","A. H. Washburn","Gregory T. Bedell","","itinerant","","Cleveland, Ohio",41.5051613,-81.6934446
"597",1876,"St. John's Church","Cincinnati","Ohio","Rev. Mr. Morgan","Thomas A. Jaggar","Austin Mann","itinerant","once","Cincinnati, Ohio",39.1014537,-84.5124602
"598",1876,"Grace Church","Cleveland","Ohio","A. H. Washburn","Gregory T. Bedell","Austin Mann","itinerant","intermittent","Cleveland, Ohio",41.5051613,-81.6934446
"599",1877,"St. Peter's Church","Delaware","Ohio","John Ufford","Thomas A. Jaggar","Mann and Gallaudet","promotional","once","Delaware, Ohio",40.2317686,-82.9651045
"600",1877,"Trinity Church","Columbus","Ohio","Rufus W. Clark","Thomas A. Jaggar","Mann and Gallaudet","promotional","once","Columbus, Ohio",39.9622601,-83.0007065
"601",1877,"Christ Church","Dayton","Ohio","Edward H. Jewett","Thomas A. Jaggar","Mann and Gallaudet","promotional","once","Dayton, Ohio",39.7589478,-84.1916069
"602",1878,"Christ Church","Dayton","Ohio","Edward H. Jewett","Thomas A. Jaggar","Austin Mann","itinerant","intermittent","Dayton, Ohio",39.7589478,-84.1916069
"603",1877,"St. John's Church","Cincinnati","Ohio","P.B. Morgan","Thomas A. Jaggar","Mann and Gallaudet","promotional","once","Cincinnati, Ohio",39.1014537,-84.5124602
"604",1877,"Grace Church","Cleveland","Ohio","George W. Carter","Gregory T. Bedell","Mann and Gallaudet","promotional","","Cleveland, Ohio",41.5051613,-81.6934446
"605",1878,"St. Peter's Church","Delaware","Ohio","John Ufford","Thomas A. Jaggar","Austin Mann","Itinerant","intermittent","Delaware, Ohio",40.2317686,-82.9651045
"606",1878,"Grace Church","Cleveland","Ohio","George W. Hinkle","Gregory T. Bedell","Austin Mann","Itinerant","intermittent","Cleveland, Ohio",41.5051613,-81.6934446
"607",1878,"St. John's Church","Cincinnati","Ohio","P.B. Morgan","Thomas A. Jaggar","Austin Mann","Itinerant","intermittent","Cincinnati, Ohio",39.1014537,-84.5124602
"608",1878,"Christ Church","Portsmouth","Ohio","F.K. Brooke","Thomas A. Jaggar","Austin Mann","Itinerant","once","Portsmouth, Ohio",38.7316375,-82.9965441
"609",1878,"St. Paul's Church","Marion","Ohio","Joseph E, Jullian","Gregory T. Bedell","Austin Mann","Itinerant","once","Marion, Ohio",40.5886259,-83.1287349
"610",1878,"Lutheran Church","Shelby","Ohio","","","Austin Mann","Itinerant","once","Shelby, Ohio",40.881436,-82.6618953
"611",1878,"St. Paul's Church","Columbus","Ohio","Robert W. Grange","Thomas A. Jaggar","Gallaudet","Itinerant","once","Columbus, Ohio",39.9622601,-83.0007065
"612",1878,"Grace Church","Mansfield","Ohio","Sherlock A. Bronson","Gregory T. Bedell","Gallaudet","Itinerant","once","Mansfield, Ohio",40.75839,-82.5154471
"613",1879,"Grace Church","Mansfield","Ohio","Sherlock A. Bronson","Gregory T. Bedell","Austin Mann and Gallaudet","Itinerant","once","Mansfield, Ohio",40.75839,-82.5154471
"614",1878,"Ohio Institution for Deaf-Mutes","Columbus","Ohio","","","Job Turner","Itinerant","","Columbus, Ohio",39.9622601,-83.0007065
"615",1878,"St. John's Church","Cincinnati","Ohio","P.B. Morgan","Thomas A. Jaggar","Robert P. McGregor","regular","biweekly","Cincinnati, Ohio",39.1014537,-84.5124602
"616",1879,"St. Paul's Church","Akron","Ohio","R.L. Ganter","Gregory T. Bedell","Austin Mann","itinerant","intermittent","Akron, Ohio",41.083064,-81.518485
"617",1879,"St. Paul's Church","Marion","Ohio","Joseph E. Julian","Gregory T. Bedell","Austin Mann","itinerant","once","Marion, Ohio",40.5886259,-83.1287349
"618",1880,"St. Paul's Church","Marion","Ohio","Joseph E. Julian","Gregory T. Bedell","Austin Mann","itinerant","intermittent","Marion, Ohio",40.5886259,-83.1287349
"619",1879,"Christ Church","Dayton","Ohio","Vacant","Thomas A. Jaggar","Austin Mann","itinerant","","Dayton, Ohio",39.7589478,-84.1916069
"620",1879,"St. Peter's Church","Delaware","Ohio","John Ufford","Thomas A. Jaggar","Austin Mann","itinerant","once","Delaware, Ohio",40.2317686,-82.9651045
"621",1879,"Personal residence","Delaware","Ohio","","","Austin Mann","itinerant","intermittent","Delaware, Ohio",40.2317686,-82.9651045
"622",1880,"Christ Church","Portsmouth","Ohio","F.K. Brooke","Thomas A. Jaggar","Austin Mann","itinerant","once","Portsmouth, Ohio",38.7316375,-82.9965441
"623",1879,"Grace Church","Cleveland","Ohio","George W. Hinkle","Gregory T. Bedell","Austin W. Mann","itinerant","intermittent","Cleveland, Ohio",41.5051613,-81.6934446
"624",1879,"Trinity Church","Cleveland","Ohio","John W. Brown","Gregory T. Bedell","Mann and Gallaudet","promotional","once","Cleveland, Ohio",41.5051613,-81.6934446
"625",1879,"Trinity Church","Columbus","Ohio","Charles H. Babcock","Thomas A. Jaggar","Mann and Gallaudet","itinerant","","Columbus, Ohio",39.9622601,-83.0007065
"626",1879,"Ohio Institution for Deaf-Mutes","Columbus","Ohio","","","Mann and Gallaudet","itinerant","once","Columbus, Ohio",39.9622601,-83.0007065
"627",1880,"Ohio Institution for Deaf-Mutes","Columbus","Ohio","","","Austin Mann","itinerant","once","Columbus, Ohio",39.9622601,-83.0007065
"628",1879,"St. John's Church","Cincinnati","Ohio","George H. Kinsolving","Thomas A. Jaggar","R.P. McGregor","regular","biweekly","Cincinnati, Ohio",39.1014537,-84.5124602
"629",1880,"Christ Church","Dayton","Ohio","J.T. Webster","Thomas A. Jaggar","Austin Mann","itinerant","intermittent","Dayton, Ohio",39.7589478,-84.1916069
"630",1880,"","Mallet Creek","Ohio","","","Austin Mann","itinerant","","Mallet Creek, Ohio",41.1672766,-81.9254167
"631",1880,"Grace Church","Bellefontaine","Ohio","","","Austin Mann","itinerant","once","Bellefontaine, Ohio",40.3611643,-83.7596557
"632",1880,"St. Paul's Church","Cincinnati","Ohio","Samuel Benedict","Thomas A. Jaggar","Chamberlain, Mann, Turner","itinerant","once","Cincinnati, Ohio",39.1014537,-84.5124602
"633",1880,"Grace Church","Cleveland","Ohio","George W. Hinkle","Gregory T. Bedell","Gallaudet and Mann","itinerant","","Cleveland, Ohio",41.5051613,-81.6934446
"634",1880,"All Saints' Church","Cleveland","Ohio","Lewis W. Burton","Gregory T. Bedell","Austin Mann","itinerant","once","Cleveland, Ohio",41.5051613,-81.6934446
"635",1880,"Christ Church","Springfield","Ohio","John T. Rose","Thomas A. Jaggar","Austin Mann","itinerant","once","Springfield, Ohio",39.9234046,-83.810138
"636",1880,"St. Andrew's Church","Elyria","Ohio","Henry H. Morrell","Gregory T. Bedell","Gallaudet and Mann","itinerant","","Elyria, Ohio",41.3673191,-82.1073583
"637",1880,"Trinity Church","Newark","Ohio","Francis M. Hall","Thomas A. Jaggar","Austin Mann","itinerant","once","Newark, Ohio",40.0581205,-82.4012643
"638",1880,"St. John's Church","Cincinnati","Ohio","George H. Kinsolving","Thomas A. Jaggar","R.P. McGregor","","","Cincinnati, Ohio",39.1014537,-84.5124602
"639",1880,"Trinity Church","Columbus","Ohio","Charles H. Babcock","Thomas A. Jaggar","Austin Mann","Itinerant","once","Columbus, Ohio",39.9622601,-83.0007065
"640",1880,"Methodist Episcopal Church","Kenton","Ohio","","","Austin Mann","Itinerant","once","Kenton, Ohio",40.6478171,-83.6089968
"641",1880,"St. Paul's Church","Canton","Ohio","Vacant","Gregory T. Bedell","Austin Mann","Itinerant","once","Canton, Ohio",40.7985464,-81.3749508
"642",1878,"Christ Church","Dayton","Ohio","Edward H. Jewett","Thomas A. Jaggar","Austin Mann","Itinerant","intermittent","Dayton, Ohio",39.7589478,-84.1916069
"643",1859,"St. Stephen's Church","Philadelphia","Pennsylvania","H.W. Ducachet","Alonzo Potter","Thomas Gallaudet","promotional","once","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"644",1859,"St. Stephen's Church","Philadelphia","Pennsylvania","H.W. Ducachet","Alonzo Potter","Thomas Gallaudet","itinerant","once","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"645",1865,"Calvary Church","Philadelphia","Pennsylvania","Eagan","William B. Stevens","Eagan","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"646",1866,"Calvary Church","Philadelphia","Pennsylvania","Francis J. Clerc","William B. Stevens","Clerc","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"647",1866,"Calvary Church","Philadelphia","Pennsylvania","Eagan","William B. Stevens","Eagan","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"648",1867,"Calvary Church","Philadelphia","Pennsylvania","Francis J. Clerc","William B. Stevens","Clerc","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"649",1868,"Grace Church","Allentown","Pennsylvania","W.R. Gries","William B. Stevens","Clerc","regular","weekly","Allentown, Pennsylvania",40.6022059,-75.4712794
"650",1868,"Calvary Church","Philadelphia","Pennsylvania","Francis J. Clerc","William B. Stevens","Clerc","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"651",1869,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Clerc","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"652",1870,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Clerc","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"653",1871,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Clerc","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"654",1872,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","","regular","monthly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"655",1873,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","","regular","monthly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"656",1873,"Church of the Mediator","Allentown","Pennsylvania","Charles E.D. Griffith","M.A. DeWolfe Howe","","","","Allentown, Pennsylvania",40.6022059,-75.4712794
"657",1874,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Clerc","regular","monthly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"658",1874,"Church of the Mediator","Allentown","Pennsylvania","Charles E.D. Griffith","M.A. DeWolfe Howe","Thomas Roberts","regular","intermittent","Allentown, Pennsylvania",40.6022059,-75.4712794
"659",1875,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Syle","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"660",1875,"Grace Church","Allentown","Pennsylvania","DeWitt C. Byllesby","M.A. DeWolfe Howe","Thomas Roberts","regular","weekly","Allentown, Pennsylvania",40.6022059,-75.4712794
"661",1875,"Trinity Church","Pittsburgh","Pennsylvania","William A. Hitchcock","John B. Kerfoot","","itinerant","","Pittsburgh, Pennsylvania",40.4416941,-79.9900861
"662",1875,"St. Paul's Church","Erie","Pennsylvania","W.H. Mills","John B. Kerfoot","","itinerant","","Erie, Pennsylvania",42.1294712,-80.0852695
"663",1876,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Syle","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"664",1876,"Grace Church","Allentown","Pennsylvania","Charles S.M. Stewart","M.A. DeWolfe Howe","Thomas Roberts","regular","weekly","Allentown, Pennsylvania",40.6022059,-75.4712794
"665",1876,"Trinity Church","Pittsburg","Pennsylvania","William A. Hitchcock","John B. Kerfoot","Mann, Gallaudet","itinerant","once","Pittsburg, Pennsylvania",40.4416941,-79.9900861
"666",1877,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Syle","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"667",1877,"Grace Church","Allentown","Pennsylvania","Charles S.M. Stewart","M.A. DeWolfe Howe","Thomas Roberts","regular","weekly","Allentown, Pennsylvania",40.6022059,-75.4712794
"668",1877,"St. Barnabas Church","Reading","Pennsylvania","W. B. Burk","M.A. DeWolfe Howe","Chamberlain","Itinerant","intermittent","Reading, Pennsylvania",40.335345,-75.9279495
"669",1877,"St. John's Church","York","Pennsylvania","W.T. Wilson","M.A. DeWolfe Howe","Clerc","occasional","intermittent","York, Pennsylvania",39.962398,-76.727392
"670",1877,"Trinity Church","Pittsburg","Pennsylvania","William A. Hitchcock","John B. Kerfoot","Mann","Itinerant","intermittent","Pittsburg, Pennsylvania",40.4416941,-79.9900861
"671",1878,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Syle","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"672",1878,"Grace Church","Allentown","Pennsylvania","Hugh R. Scott","M.A. DeWolfe Howe","Thomas Roberts","","","Allentown, Pennsylvania",40.6022059,-75.4712794
"673",1878,"Trinity Church","Pittsburg","Pennsylvania","William A. Hitchcock","John B. Kerfoot","Austin Mann","itinerant","intermittent","Pittsburg, Pennsylvania",40.4416941,-79.9900861
"674",1878,"","York","Pennsylvania","","","Clerc","","","York, Pennsylvania",39.962398,-76.727392
"675",1878,"St. Luke's Church","Altoona","Pennsylvania","Allan S. Woodle","M.A. DeWolfe Howe","Gallaudet","Itinerant","once","Altoona, Pennsylvania",40.518681,-78.394736
"676",1878,"St. Paul's Church","Erie","Pennsylvania","William H. Mills","John B. Kerfoot","Gallaudet and Mann","itinerant","once","Erie, Pennsylvania",42.1294712,-80.0852695
"677",1878,"","York","Pennsylvania","","","Job Turner","Itinerant","","York, Pennsylvania",39.962398,-76.727392
"678",1878,"Pennsylvania Institution for Deaf-Mutes","Philadelphia","Pennsylvania","","","Job Turner","Itinerant","","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"679",1879,"Trinity Church","Pittsburg","Pennsylvania","William A. Hitchcock","John B. Kerfoot","Austin Mann","itinerant","","Pittsburg, Pennsylvania",40.4416941,-79.9900861
"680",1878,"Christ Church","Meadville","Pennsylvania","G.A. Cartensen","John B. Kerfoot","Austin Mann","itinerant","","Meadville, Pennsylvania",41.641445,-80.151449
"681",1879,"Christ Church","Meadville","Pennsylvania","G.A. Cartensen","John B. Kerfoot","Mann and Gallaudet","itinerant","once","Meadville, Pennsylvania",41.641445,-80.151449
"682",1879,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Henry W. Syle","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"683",1879,"Trinity Church","Meadville","Pennsylvania","Rev. Mr. Carstensen","","Mann and Gallaudet","itinerant","one","Meadville, Pennsylvania",41.641445,-80.151449
"684",1879,"Grace Church","Allentown","Pennsylvania","","M.A. DeWolfe Howe","Thomas S. Roberts","","","Allentown, Pennsylvania",40.6022059,-75.4712794
"685",1879,"St. John's Church","York","Pennsylvania","H.W. Spalding","M.A. DeWolfe Howe","Turner","itinerant","","York, Pennsylvania",39.962398,-76.727392
"686",1879,"Pennsylvania School for the Deaf","Philadelphia","Pennsylvania","","","Turner","itinerant","","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"687",1880,"St. Stephen's Church","Philadelphia","Pennsylvania","William Rudder","William B. Stevens","Henry W. Syle","regular","weekly","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"688",1880,"St. John's Church","York","Pennsylvania","H.W. Spalding","M.A. DeWolfe Howe","Chamberlain","promotional","once","York, Pennsylvania",39.962398,-76.727392
"689",1861,"Church of the Ascension","Philadelphia","Pennsylvania","","","Thomas Gallaudet","occasional","intermittent","Philadelphia, Pennsylvania",39.9527237,-75.1635262
"690",1880,"Trinity Church","Pittsburgh","Pennsylvania","William A. Hitchcock","John B. Kerfoot","Austin Mann","itinerant","intermittent","Pittsburgh, Pennsylvania",40.4416941,-79.9900861
"691",1880,"Emmanuel Church","Corry","Pennsylvania","Thomas A. Stevenson","John B. Kerfoot","Austin Mann","itinerant","once","Corry, Pennsylvania",41.920334,-79.640329
