year,facility,city,state,facilityClergy,bishop,cmdmWorker,serviceRegularity,serviceFrequency,place,lat,lng
1879,Trinity Church,Geneva,New York,H.W. Nelson,Arthur C. Coxe,Turner,itinerant,,"Geneva, New York",42.8690271,-76.9786122
1879,St. James' Church,Syracuse,New York,Joseph M. Clarke,Frederic D. Huntington,Turner,itinerant,,"Syracuse, New York",43.0481221,-76.1474244
1879,Grace Church,Mexico,New York,F.B.A. Lewis,Frederic D. Huntington,Turner,itinerant,,"Mexico, New York",43.464167,-76.234722
1879,Grace Church,Watertown,New York,George T. LeBoutillier,Frederic D. Huntington,Turner,itinerant,,"Watertown, New York",43.9747838,-75.9107565
1879,Trinity Church,Potsdam,New York,Henry R. Howard,William C. Doane,Turner,itinerant,,"Potsdam, New York",44.6697996,-74.9813349
1879,Grace Church,New York City,New York,D. Brainerd Ray,Horatio Potter,,promotional,once,"New York City, New York",40.81209,-73.94723
1879,Christ Church,New York City,New York,Lucius W. Bancroft,Abram N. Littlejohn,"Lewis, Chamberlain",regular,monthly,"New York City, New York",40.70865,-73.95661
1879,St. Paul's Church,Troy,New York,Francis Harison,William C. Doane,,regular,weekly,"Troy, New York",42.731667,-73.6925
1880,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain, Lewis, Turner",regular,weekly,"New York City, New York",40.7392,-73.99247
1880,Church of the Intercession,New York City,New York,E. Winchester Donald,Horatio Potter,Chamberlain,itinerant,once,"New York City, New York",40.83293,-73.9456
1880,St. Andrew's Church,New York City,New York,Francis Lobdell,Horatio Potter,Chamberlain,regular,monthly,"New York City, New York",40.80894,-73.94084
1880,St. John's Chapel,New York City,New York,Sullivan H. Weston,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.70818,-74.01163
1880,Christ Church,New York City,New York,Alfred H. Partridge,Abram N. Littlejohn,Gallaudet,itinerant,once,"New York City, New York",40.70865,-73.95661
1880,St. Ann's Church,New York City,New York,William A. Schenck,Abram N. Littlejohn,Gallaudet,itinerant,once,"New York City, New York",40.69222,-73.99343
1880,Trinity Church,Asbury Park,New Jersey,William H. Capers,John Scarborough,Gallaudet,,,"Asbury Park, New Jersey",40.2203907,-74.0120817
1880,Bethesda Church,Saratoga Springs,New York,Joseph Carey,William C. Doane,Gallaudet,itinerant,once,"Saratoga Springs, New York",43.0821793,-73.7853915
1880,St. James' Church,Goshen,New York,William H.D. Grannis,Horatio Potter,Gallaudet,itinerant,once,"Goshen, New York",41.4020382,-74.3243191
1880,,Quarryville,New York,,,George W. Schutt,occasional,intermittent,"Quarryville, New York",42.1198121,-73.9870797
1880,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,George W. Schutt,occasional,quarterly,"Albany, New York",42.6525,-73.757222
1880,St. John's Church,Kingston,New York,C. William Camp,Horatio Potter,George W. Schutt,occasional,intermittent,"Kingston, New York",41.9287812,-74.0023702
1880,St. George's Church,Newburgh,New York,John Brown,Horatio Potter,George W. Schutt,occasional,intermittent,"Newburgh, New York",41.5034271,-74.0104179
1880,The Hall,Whiteport,New York,,,George W. Schutt,occasional,intermittent,"Whiteport, New York",41.8823148,-74.0551409
1880,Trinity Church,Saugerties,New York,Thomas Cole,Horatio Potter,George W. Schutt,occasional,intermittent,"Saugerties, New York",42.0775906,-73.9529126
1880,St. John's Church,Canterbury,New York,William E. Snowden,Horatio Potter,George W. Schutt,occasional,intermittent,"Canterbury, New York",39.9839869,-76.7096887
1880,Church of the Holy Comforter,Poughkeepsie,New York,Robert F. Crary,Horatio Potter,George W. Schutt,occasional,intermittent,"Poughkeepsie, New York",41.7065539,-73.9283672
1880,St Mark's Church,Tarrytown,New York,John F. Herrlich,Horatio Potter,George W. Schutt,occasional,intermittent,"Tarrytown, New York",41.065586,-73.8673293
1880,St. Barnabas Chapel,Stottville,New York,William B. Reynolds,William C. Doane,George W. Schutt,occasional,intermittent,"Stottville, New York",42.291795,-73.7512588
1880,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,John C. Acker,regular,weekly,"Rochester, New York",43.157285,-77.615214
1880,St. Paul's Church,Troy,New York,Francis Harison,William C. Doane,Mrs. Gould,,,"Troy, New York",42.731667,-73.6925
1859,Christ Church,Binghamton,New York,Amos B. Beach,William H. De Lancey,Thomas Gallaudet,promotional,once,"Binghamton, New York",42.096968,-75.914341
1859,Christ Church,Binghamton,New York,Amos B. Beach,William H. De Lancey,Thomas Gallaudet,itinerant,once,"Binghamton, New York",42.096968,-75.914341
1859,Christ Church,Hudson,New York,William Watson,Horatio Potter,Thomas Gallaudet,promotional,once,"Hudson, New York",42.2528649,-73.790959
1859,Christ Church,Hudson,New York,William Watson,Horatio Potter,Thomas Gallaudet,itinerant,once,"Hudson, New York",42.2528649,-73.790959
1859,St. Paul's Church,Oxford,New York,David H. Macurdy,William H. De Lancey,Thomas Gallaudet,promotional,once,"Oxford, New York",42.4420181,-75.5976855
1859,St. Paul's Church,Oxford,New York,David H. Macurdy,William H. De Lancey,Thomas Gallaudet,itinerant,once,"Oxford, New York",42.4420181,-75.5976855
1859,St. Paul's Church,Oxford,New York,David H. Macurdy,William H. De Lancey,Thomas Gallaudet,itinerant,once,"Oxford, New York",42.4420181,-75.5976855
1859,St. John's Church,Yonkers,New York,Abraham B. Carter,Horatio Potter,Thomas Gallaudet,promotional,once,"Yonkers, New York",40.9312099,-73.8987469
1859,St. John's Church,Yonkers,New York,Abraham B. Carter,Horatio Potter,Thomas Gallaudet,itinerant,once,"Yonkers, New York",40.9312099,-73.8987469
1861,St. Paul's Church,Albany,New York,William Rudder,Horatio Potter,Thomas Gallaudet,occasional,intermittent,"Albany, New York",42.6525,-73.757222
1878,Church of the Good Shepherd,Raleigh,North Carolina,Edward R. Rich,Thomas Atkinson,Job Turner,Itinerant,,"Raleigh, North Carolina",35.7803977,-78.6390989
1878,St. Peter's Church,Charlotte,North Carolina,Benjamin S. Bronson,Thomas Atkinson,Job Turner,Itinerant,,"Charlotte, North Carolina",35.2272086,-80.8430827
1878,North Carolina Institution for Deaf-Mutes,Raleigh,North Carolina,,,Job Turner,Itinerant,,"Raleigh, North Carolina",35.7803977,-78.6390989
1879,St. James' Church,Wilmington,North Carolina,Alfred Watson,Thomas Atkinson,Gallaudet,promotional,once,"Wilmington, North Carolina",34.2257282,-77.9447107
1879,St. John's Church,Wilmington,North Carolina,George Patterson,Thomas Atkinson,Gallaudet,promotional,once,"Wilmington, North Carolina",34.2257282,-77.9447107
1879,St. Mark's Church,Wilmington,North Carolina,Charles O. Brady,Thomas Atkinson,"Gallaudet, Turner",itinerant,once,"Wilmington, North Carolina",34.2257282,-77.9447107
1879,St. Paul's Church,Wilmington,North Carolina,T.M. Ambler,Thomas Atkinson,"Gallaudet, Turner",itinerant,,"Wilmington, North Carolina",34.2257282,-77.9447107
1879,North Carolina Institution for the Deaf and Dumb,Raleigh,North Carolina,,,"Gallaudet, Turner",itinerant,,"Raleigh, North Carolina",35.7803977,-78.6390989
1879,North Carolina Institution for the Deaf and Dumb,Raleigh,North Carolina,,,"Gallaudet, Turner",itinerant,,"Raleigh, North Carolina",35.7803977,-78.6390989
1879,Church of the Good Shepherd,Raleigh,North Carolina,Edward R. Rich,Thomas Atkinson,Turner,itinerant,,"Raleigh, North Carolina",35.7803977,-78.6390989
1879,Christ Church,Raleigh,North Carolina,M.M. Marshall,Thomas Atkinson,Turner,itinerant,,"Raleigh, North Carolina",35.7803977,-78.6390989
1875,Trinity Church,Columbus,Ohio,Rufus W. Clark,Thomas A. Jaggar,,itinerant,,"Columbus, Ohio",39.9622601,-83.0007065
1875,Ohio Institution for Deaf-Mutes,Columbus,Ohio,,,Gallaudet,itinerant,once,"Columbus, Ohio",39.9622601,-83.0007065
1875,Grace Church,Cleveland,Ohio,A. H. Washburn,Gregory T. Bedell,,itinerant,,"Cleveland, Ohio",41.5051613,-81.6934446
1876,St. John's Church,Cincinnati,Ohio,Rev. Mr. Morgan,Thomas A. Jaggar,Austin Mann,itinerant,once,"Cincinnati, Ohio",39.1014537,-84.5124602
1876,Grace Church,Cleveland,Ohio,A. H. Washburn,Gregory T. Bedell,Austin Mann,itinerant,intermittent,"Cleveland, Ohio",41.5051613,-81.6934446
1877,St. Peter's Church,Delaware,Ohio,John Ufford,Thomas A. Jaggar,Mann and Gallaudet,promotional,once,"Delaware, Ohio",40.2317686,-82.9651045
1877,Trinity Church,Columbus,Ohio,Rufus W. Clark,Thomas A. Jaggar,Mann and Gallaudet,promotional,once,"Columbus, Ohio",39.9622601,-83.0007065
1877,Christ Church,Dayton,Ohio,Edward H. Jewett,Thomas A. Jaggar,Mann and Gallaudet,promotional,once,"Dayton, Ohio",39.7589478,-84.1916069
1878,Christ Church,Dayton,Ohio,Edward H. Jewett,Thomas A. Jaggar,Austin Mann,itinerant,intermittent,"Dayton, Ohio",39.7589478,-84.1916069
1877,St. John's Church,Cincinnati,Ohio,P.B. Morgan,Thomas A. Jaggar,Mann and Gallaudet,promotional,once,"Cincinnati, Ohio",39.1014537,-84.5124602
1877,Grace Church,Cleveland,Ohio,George W. Carter,Gregory T. Bedell,Mann and Gallaudet,promotional,,"Cleveland, Ohio",41.5051613,-81.6934446
1878,St. Peter's Church,Delaware,Ohio,John Ufford,Thomas A. Jaggar,Austin Mann,Itinerant,intermittent,"Delaware, Ohio",40.2317686,-82.9651045
1878,Grace Church,Cleveland,Ohio,George W. Hinkle,Gregory T. Bedell,Austin Mann,Itinerant,intermittent,"Cleveland, Ohio",41.5051613,-81.6934446
1878,St. John's Church,Cincinnati,Ohio,P.B. Morgan,Thomas A. Jaggar,Austin Mann,Itinerant,intermittent,"Cincinnati, Ohio",39.1014537,-84.5124602
1878,Christ Church,Portsmouth,Ohio,F.K. Brooke,Thomas A. Jaggar,Austin Mann,Itinerant,once,"Portsmouth, Ohio",38.7316375,-82.9965441
1878,St. Paul's Church,Marion,Ohio,"Joseph E, Jullian",Gregory T. Bedell,Austin Mann,Itinerant,once,"Marion, Ohio",40.5886259,-83.1287349
1878,Lutheran Church,Shelby,Ohio,,,Austin Mann,Itinerant,once,"Shelby, Ohio",40.881436,-82.6618953
1878,St. Paul's Church,Columbus,Ohio,Robert W. Grange,Thomas A. Jaggar,Gallaudet,Itinerant,once,"Columbus, Ohio",39.9622601,-83.0007065
1878,Grace Church,Mansfield,Ohio,Sherlock A. Bronson,Gregory T. Bedell,Gallaudet,Itinerant,once,"Mansfield, Ohio",40.75839,-82.5154471
1879,Grace Church,Mansfield,Ohio,Sherlock A. Bronson,Gregory T. Bedell,Austin Mann and Gallaudet,Itinerant,once,"Mansfield, Ohio",40.75839,-82.5154471
1878,Ohio Institution for Deaf-Mutes,Columbus,Ohio,,,Job Turner,Itinerant,,"Columbus, Ohio",39.9622601,-83.0007065
1878,St. John's Church,Cincinnati,Ohio,P.B. Morgan,Thomas A. Jaggar,Robert P. McGregor,regular,biweekly,"Cincinnati, Ohio",39.1014537,-84.5124602
1879,St. Paul's Church,Akron,Ohio,R.L. Ganter,Gregory T. Bedell,Austin Mann,itinerant,intermittent,"Akron, Ohio",41.083064,-81.518485
1879,St. Paul's Church,Marion,Ohio,Joseph E. Julian,Gregory T. Bedell,Austin Mann,itinerant,once,"Marion, Ohio",40.5886259,-83.1287349
1880,St. Paul's Church,Marion,Ohio,Joseph E. Julian,Gregory T. Bedell,Austin Mann,itinerant,intermittent,"Marion, Ohio",40.5886259,-83.1287349
1879,Christ Church,Dayton,Ohio,Vacant,Thomas A. Jaggar,Austin Mann,itinerant,,"Dayton, Ohio",39.7589478,-84.1916069
1879,St. Peter's Church,Delaware,Ohio,John Ufford,Thomas A. Jaggar,Austin Mann,itinerant,once,"Delaware, Ohio",40.2317686,-82.9651045
1879,Personal residence,Delaware,Ohio,,,Austin Mann,itinerant,intermittent,"Delaware, Ohio",40.2317686,-82.9651045
1880,Christ Church,Portsmouth,Ohio,F.K. Brooke,Thomas A. Jaggar,Austin Mann,itinerant,once,"Portsmouth, Ohio",38.7316375,-82.9965441
1879,Grace Church,Cleveland,Ohio,George W. Hinkle,Gregory T. Bedell,Austin W. Mann,itinerant,intermittent,"Cleveland, Ohio",41.5051613,-81.6934446
1879,Trinity Church,Cleveland,Ohio,John W. Brown,Gregory T. Bedell,Mann and Gallaudet,promotional,once,"Cleveland, Ohio",41.5051613,-81.6934446
1879,Trinity Church,Columbus,Ohio,Charles H. Babcock,Thomas A. Jaggar,Mann and Gallaudet,itinerant,,"Columbus, Ohio",39.9622601,-83.0007065
1879,Ohio Institution for Deaf-Mutes,Columbus,Ohio,,,Mann and Gallaudet,itinerant,once,"Columbus, Ohio",39.9622601,-83.0007065
1880,Ohio Institution for Deaf-Mutes,Columbus,Ohio,,,Austin Mann,itinerant,once,"Columbus, Ohio",39.9622601,-83.0007065
1879,St. John's Church,Cincinnati,Ohio,George H. Kinsolving,Thomas A. Jaggar,R.P. McGregor,regular,biweekly,"Cincinnati, Ohio",39.1014537,-84.5124602
1880,Christ Church,Dayton,Ohio,J.T. Webster,Thomas A. Jaggar,Austin Mann,itinerant,intermittent,"Dayton, Ohio",39.7589478,-84.1916069
1880,,Mallet Creek,Ohio,,,Austin Mann,itinerant,,"Mallet Creek, Ohio",41.1672766,-81.9254167
1880,Grace Church,Bellefontaine,Ohio,,,Austin Mann,itinerant,once,"Bellefontaine, Ohio",40.3611643,-83.7596557
1880,St. Paul's Church,Cincinnati,Ohio,Samuel Benedict,Thomas A. Jaggar,"Chamberlain, Mann, Turner",itinerant,once,"Cincinnati, Ohio",39.1014537,-84.5124602
1880,Grace Church,Cleveland,Ohio,George W. Hinkle,Gregory T. Bedell,Gallaudet and Mann,itinerant,,"Cleveland, Ohio",41.5051613,-81.6934446
1880,All Saints' Church,Cleveland,Ohio,Lewis W. Burton,Gregory T. Bedell,Austin Mann,itinerant,once,"Cleveland, Ohio",41.5051613,-81.6934446
1880,Christ Church,Springfield,Ohio,John T. Rose,Thomas A. Jaggar,Austin Mann,itinerant,once,"Springfield, Ohio",39.9234046,-83.810138
1880,St. Andrew's Church,Elyria,Ohio,Henry H. Morrell,Gregory T. Bedell,Gallaudet and Mann,itinerant,,"Elyria, Ohio",41.3673191,-82.1073583
1880,Trinity Church,Newark,Ohio,Francis M. Hall,Thomas A. Jaggar,Austin Mann,itinerant,once,"Newark, Ohio",40.0581205,-82.4012643
1880,St. John's Church,Cincinnati,Ohio,George H. Kinsolving,Thomas A. Jaggar,R.P. McGregor,,,"Cincinnati, Ohio",39.1014537,-84.5124602
1880,Trinity Church,Columbus,Ohio,Charles H. Babcock,Thomas A. Jaggar,Austin Mann,Itinerant,once,"Columbus, Ohio",39.9622601,-83.0007065
1880,Methodist Episcopal Church,Kenton,Ohio,,,Austin Mann,Itinerant,once,"Kenton, Ohio",40.6478171,-83.6089968
1880,St. Paul's Church,Canton,Ohio,Vacant,Gregory T. Bedell,Austin Mann,Itinerant,once,"Canton, Ohio",40.7985464,-81.3749508
1878,Christ Church,Dayton,Ohio,Edward H. Jewett,Thomas A. Jaggar,Austin Mann,Itinerant,intermittent,"Dayton, Ohio",39.7589478,-84.1916069
1859,St. Stephen's Church,Philadelphia,Pennsylvania,H.W. Ducachet,Alonzo Potter,Thomas Gallaudet,promotional,once,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1859,St. Stephen's Church,Philadelphia,Pennsylvania,H.W. Ducachet,Alonzo Potter,Thomas Gallaudet,itinerant,once,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1865,Calvary Church,Philadelphia,Pennsylvania,Eagan,William B. Stevens,Eagan,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1866,Calvary Church,Philadelphia,Pennsylvania,Francis J. Clerc,William B. Stevens,Clerc,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1866,Calvary Church,Philadelphia,Pennsylvania,Eagan,William B. Stevens,Eagan,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1867,Calvary Church,Philadelphia,Pennsylvania,Francis J. Clerc,William B. Stevens,Clerc,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1868,Grace Church,Allentown,Pennsylvania,W.R. Gries,William B. Stevens,Clerc,regular,weekly,"Allentown, Pennsylvania",40.6022059,-75.4712794
1868,Calvary Church,Philadelphia,Pennsylvania,Francis J. Clerc,William B. Stevens,Clerc,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1869,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Clerc,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1870,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Clerc,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1871,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Clerc,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1872,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,,regular,monthly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1873,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,,regular,monthly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1873,Church of the Mediator,Allentown,Pennsylvania,Charles E.D. Griffith,M.A. DeWolfe Howe,,,,"Allentown, Pennsylvania",40.6022059,-75.4712794
1874,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Clerc,regular,monthly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1874,Church of the Mediator,Allentown,Pennsylvania,Charles E.D. Griffith,M.A. DeWolfe Howe,Thomas Roberts,regular,intermittent,"Allentown, Pennsylvania",40.6022059,-75.4712794
1875,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Syle,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1875,Grace Church,Allentown,Pennsylvania,DeWitt C. Byllesby,M.A. DeWolfe Howe,Thomas Roberts,regular,weekly,"Allentown, Pennsylvania",40.6022059,-75.4712794
1875,Trinity Church,Pittsburgh,Pennsylvania,William A. Hitchcock,John B. Kerfoot,,itinerant,,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
1875,St. Paul's Church,Erie,Pennsylvania,W.H. Mills,John B. Kerfoot,,itinerant,,"Erie, Pennsylvania",42.1294712,-80.0852695
1876,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Syle,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1876,Grace Church,Allentown,Pennsylvania,Charles S.M. Stewart,M.A. DeWolfe Howe,Thomas Roberts,regular,weekly,"Allentown, Pennsylvania",40.6022059,-75.4712794
1876,Trinity Church,Pittsburg,Pennsylvania,William A. Hitchcock,John B. Kerfoot,"Mann, Gallaudet",itinerant,once,"Pittsburg, Pennsylvania",40.4416941,-79.9900861
1877,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Syle,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1877,Grace Church,Allentown,Pennsylvania,Charles S.M. Stewart,M.A. DeWolfe Howe,Thomas Roberts,regular,weekly,"Allentown, Pennsylvania",40.6022059,-75.4712794
1877,St. Barnabas Church,Reading,Pennsylvania,W. B. Burk,M.A. DeWolfe Howe,Chamberlain,Itinerant,intermittent,"Reading, Pennsylvania",40.335345,-75.9279495
1877,St. John's Church,York,Pennsylvania,W.T. Wilson,M.A. DeWolfe Howe,Clerc,occasional,intermittent,"York, Pennsylvania",39.962398,-76.727392
1877,Trinity Church,Pittsburg,Pennsylvania,William A. Hitchcock,John B. Kerfoot,Mann,Itinerant,intermittent,"Pittsburg, Pennsylvania",40.4416941,-79.9900861
1878,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Syle,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1878,Grace Church,Allentown,Pennsylvania,Hugh R. Scott,M.A. DeWolfe Howe,Thomas Roberts,,,"Allentown, Pennsylvania",40.6022059,-75.4712794
1878,Trinity Church,Pittsburg,Pennsylvania,William A. Hitchcock,John B. Kerfoot,Austin Mann,itinerant,intermittent,"Pittsburg, Pennsylvania",40.4416941,-79.9900861
1878,,York,Pennsylvania,,,Clerc,,,"York, Pennsylvania",39.962398,-76.727392
1878,St. Luke's Church,Altoona,Pennsylvania,Allan S. Woodle,M.A. DeWolfe Howe,Gallaudet,Itinerant,once,"Altoona, Pennsylvania",40.518681,-78.394736
1878,St. Paul's Church,Erie,Pennsylvania,William H. Mills,John B. Kerfoot,Gallaudet and Mann,itinerant,once,"Erie, Pennsylvania",42.1294712,-80.0852695
1878,,York,Pennsylvania,,,Job Turner,Itinerant,,"York, Pennsylvania",39.962398,-76.727392
1878,Pennsylvania Institution for Deaf-Mutes,Philadelphia,Pennsylvania,,,Job Turner,Itinerant,,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1879,Trinity Church,Pittsburg,Pennsylvania,William A. Hitchcock,John B. Kerfoot,Austin Mann,itinerant,,"Pittsburg, Pennsylvania",40.4416941,-79.9900861
1878,Christ Church,Meadville,Pennsylvania,G.A. Cartensen,John B. Kerfoot,Austin Mann,itinerant,,"Meadville, Pennsylvania",41.641445,-80.151449
1879,Christ Church,Meadville,Pennsylvania,G.A. Cartensen,John B. Kerfoot,Mann and Gallaudet,itinerant,once,"Meadville, Pennsylvania",41.641445,-80.151449
1879,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Henry W. Syle,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1879,Trinity Church,Meadville,Pennsylvania,Rev. Mr. Carstensen,,Mann and Gallaudet,itinerant,one,"Meadville, Pennsylvania",41.641445,-80.151449
1879,Grace Church,Allentown,Pennsylvania,,M.A. DeWolfe Howe,Thomas S. Roberts,,,"Allentown, Pennsylvania",40.6022059,-75.4712794
1879,St. John's Church,York,Pennsylvania,H.W. Spalding,M.A. DeWolfe Howe,Turner,itinerant,,"York, Pennsylvania",39.962398,-76.727392
1879,Pennsylvania School for the Deaf,Philadelphia,Pennsylvania,,,Turner,itinerant,,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1880,St. Stephen's Church,Philadelphia,Pennsylvania,William Rudder,William B. Stevens,Henry W. Syle,regular,weekly,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1880,St. John's Church,York,Pennsylvania,H.W. Spalding,M.A. DeWolfe Howe,Chamberlain,promotional,once,"York, Pennsylvania",39.962398,-76.727392
1861,Church of the Ascension,Philadelphia,Pennsylvania,,,Thomas Gallaudet,occasional,intermittent,"Philadelphia, Pennsylvania",39.9527237,-75.1635262
1880,Trinity Church,Pittsburgh,Pennsylvania,William A. Hitchcock,John B. Kerfoot,Austin Mann,itinerant,intermittent,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
1880,Emmanuel Church,Corry,Pennsylvania,Thomas A. Stevenson,John B. Kerfoot,Austin Mann,itinerant,once,"Corry, Pennsylvania",41.920334,-79.640329
1875,Grace Church,Providence,Rhode Island,David H. Greer,Thomas M. Clark,,itinerant,,"Providence, Rhode Island",41.8239891,-71.4128343
1877,,Providence,Rhode Island,,Thomas M. Clark,Job Turner,Itinerant,intermittent,"Providence, Rhode Island",41.8239891,-71.4128343
1877,,Pawtucket,Rhode Island,,Thomas M. Clark,Job Turner,Itinerant,once,"Pawtucket, Rhode Island",41.878711,-71.3825558
1877,,Newport,Rhode Island,,Thomas M. Clark,Job Turner,Itinerant,once,"Newport, Rhode Island",41.5524614,-71.2703783
1878,Zion Church,Newport,Rhode Island,E.H. Kettell,Thomas M. Clark,Gallaudet,Itinerant,once,"Newport, Rhode Island",41.5524614,-71.2703783
1878,Grace Church,Providence,Rhode Island,Charles H. Wheeler,Thomas M. Clark,Turner and Gallaudet,Itinerant,intermittent,"Providence, Rhode Island",41.8239891,-71.4128343
1879,St. Barnabas' Church,Providence,Rhode Island,,Thomas M. Clark,Chamberlain,promotional,once,"Providence, Rhode Island",41.8239891,-71.4128343
1879,Grace Church,Providence,Rhode Island,David H. Greer,Thomas M. Clark,Chamberlain,promotional,once,"Providence, Rhode Island",41.8239891,-71.4128343
1879,St. James' Church,Woonsocket,Rhode Island,Joseph L. Miller,Thomas M. Clark,Turner,itinerant,,"Woonsocket, Rhode Island",42.0028761,-71.5147839
1878,Trinity Church,Columbia,South Carolina,Peter J. Shand,William B.W. Howe,Job Turner,Itinerant,,"Columbia, South Carolina",38.8897441,-77.0408608
1878,St. Phillip's Church,Charleston,South Carolina,John Johnson,William B.W. Howe,Job Turner,Itinerant,,"Charleston, South Carolina",32.7876012,-79.9402728
1878,South Carolina Institution for Deaf-Mutes,Cedar Spring,South Carolina,,,Job Turner,Itinerant,,"Cedar Spring, South Carolina",34.5167799,-82.5305271
1879,Grace Church,Charleston,South Carolina,C.C. Pickney,William B.W. Howe,"Gallaudet, Turner",itinerant,,"Charleston, South Carolina",32.7876012,-79.9402728
1879,Church of Advent,Spartanburg,South Carolina,Milnor Jones,William B.W. Howe,Turner,itinerant,,"Spartanburg, South Carolina",34.9498007,-81.9320157
1880,Calvary Church,Sioux Falls,South Dakota,Thomas B. Berry,William H. Hare,"Berry, Gallaudet and Mann",itinerant,once,"Sioux Falls, South Dakota",43.549973,-96.7003324
1879,St. Mary's Cathedral,Memphis,Tennessee,Charles T. Quintard,Charles T. Quintard,Turner,itinerant,,"Memphis, Tennessee",35.1490215,-90.0516285
1879,Calvary Church,Memphis,Tennessee,George White,Charles T. Quintard,Turner,itinerant,,"Memphis, Tennessee",35.1490215,-90.0516285
1879,St. David's Church,Jackson,Tennessee,,,Turner,itinerant,,"Jackson, Tennessee",35.6144446,-88.8177418
1879,Christ Church,Nashville,Tennessee,W. Graham,Charles T. Quintard,Turner,itinerant,,"Nashville, Tennessee",36.1622296,-86.7743531
1879,St. John's Church,Knoxville,Tennessee,Thomas Duncan,Charles T. Quintard,Turner,itinerant,,"Knoxville, Tennessee",35.9603948,-83.9210261
1878,Trinity Church,Galveston,Texas,Stephen M. Bird,Alexander Gregg,Job Turner,Itinerant,,"Galveston, Texas",29.299328,-94.7945882
1878,Texas Institution for Deaf-Mutes,Austin,Texas,,,Job Turner,Itinerant,,"Austin, Texas",30.2711286,-97.7436995
1868,St. Michael's Church,Brattleboro,Vermont,Francis W. Smith,William H.A. Bissell,Thomas Gallaudet,itinerant,once,"Brattleboro, Vermont",42.8509152,-72.5578678
1879,St. Andrew's Church,St. Johnsbury,Vermont,Nathaniel F. Putnam,William H.A. Bissell,Chamberlain,itinerant,once,"St. Johnsbury, Vermont",44.4192249,-72.0150951
1879,St. John's Church,West Randolph,Vermont,Thomas J. Taylor,William H.A. Bissell,Turner,itinerant,,"West Randolph, Vermont",43.925099,-72.666321
1878,Trinity Church,Staunton,Virginia,Walter Q. Hullihen,Francis M. Whittle,Job Turner,Itinerant,,"Staunton, Virginia",38.1495947,-79.072557
1878,St. Paul's Church,Richmond,Virginia,Charles Minnegerode,Francis M. Whittle,Job Turner,Itinerant,,"Richmond, Virginia",37.5385087,-77.43428
1878,Grace Church,Petersburg,Virginia,Churchill J. Gibson,Francis M. Whittle,Job Turner,Itinerant,,"Petersburg, Virginia",37.227928,-77.4019268
1878,Christ Church,Norfolk,Virginia,O.S. Barten,Francis M. Whittle,Job Turner,Itinerant,,"Norfolk, Virginia",36.8462923,-76.2929252
1878,Virginia Institution for Deaf-Mutes,Staunton,Virginia,,,Job Turner,Itinerant,,"Staunton, Virginia",38.1495947,-79.072557
